,Date,Agas,Almas,Aminyekom,Asam,Asas,Atimes,Atlas,Bazr,Firouze,Ofogmellat
150,13990408,61534.53,112377.14,10168.93,122158.96,139688.49,190627.03,186933.67,108951.98,156580.52,141688.51
151,13990409,59394.37,110038.25,10158.92,115668.3,138166.62,184685.5,180806.72,106255.48,154900.93,137127.03
152,13990410,64620.11,118261.02,10178.94,119809.08,144127.29,198426.39,190356.82,115195.48,165085.26,144281.14
153,13990411,68756.07,124883.8,10188.95,124188.72,152692.79,211013.59,198440.14,120395.18,177211.32,149778.31
154,13990414,68859.0,126905.03,10238.99,124829.95,152575.88,212254.81,198102.04,116906.16,177871.51,147468.33
155,13990415,69427.11,129219.49,10299.04,126437.5,156741.22,216660.72,200549.01,121168.36,184706.37,148823.13
156,13990416,74432.69,136170.67,10409.14,130134.27,164061.28,230951.61,215615.06,128967.91,194803.33,158306.72
157,13990417,74749.01,137000.48,10389.12,129893.44,163387.53,234628.51,219834.8,128813.27,195715.94,159534.81
158,13990418,70948.44,132667.71,10409.14,126730.87,157537.82,229639.78,208176.84,124425.42,189182.04,154973.33
159,13990421,68376.24,127287.19,10419.15,122057.87,152459.95,223520.23,200315.24,119902.27,183725.8,150626.28
160,13990422,74120.64,136989.72,10439.17,129246.26,162966.44,241177.71,215823.74,130272.66,197609.12,162000.73
161,13990423,72161.24,136288.94,10459.19,126111.43,161073.01,241936.57,213463.05,129025.9,196706.22,158608.87
162,13990424,72265.17,136101.28,10489.21,123427.56,160132.74,246598.09,212064.5,129799.09,200424.62,158891.52
163,13990425,69596.32,131426.43,10589.3,120976.59,156367.68,241603.39,203532.72,126889.96,194308.19,154856.37
164,13990428,66824.28,131112.69,10709.41,122124.27,154557.48,235047.22,198188.32,124174.14,187356.82,155226.74
165,13990429,71028.02,135707.39,10729.42,126480.12,163180.45,243358.79,209336.62,130205.01,196871.26,162234.66
166,13990430,73358.22,138956.23,10769.46,128820.09,171592.38,253352.17,218053.0,134592.86,206696.38,171854.7
167,13990431,71188.94,133421.28,10779.47,128778.46,169237.24,248570.31,217321.62,128117.4,202531.39,169525.23
168,13990501,70643.68,131309.15,10719.41,128488.07,167040.62,249675.27,213746.98,126290.74,200084.82,162419.85
169,13990504,72687.43,135335.98,10679.38,132756.7,170151.75,258436.38,220771.85,129625.12,208841.99,166425.76
170,13990505,72308.1,133148.59,10589.3,136465.37,165755.55,255352.24,222985.06,127266.89,207434.24,162439.34
171,13990506,70907.27,131106.83,10549.26,137929.21,162034.09,249990.54,218803.44,126522.7,201036.26,160295.05
172,13990507,71732.46,132582.68,10509.23,143774.67,166508.56,256815.24,222106.2,127160.58,203987.68,162029.98
173,13990508,70105.94,132648.17,10589.3,145617.11,164511.1,254281.09,215043.2,126261.75,197531.45,159213.16
174,13990511,72166.26,134446.56,10569.28,146636.94,168099.79,266174.08,221977.78,127382.87,202609.06,164466.66
175,13990512,73934.62,134312.66,10509.23,148294.04,170375.67,271554.67,228673.58,131113.51,207560.45,170178.26
176,13990513,73643.16,134887.36,10539.26,146509.09,169315.51,266418.75,226538.63,133172.12,206405.12,169554.47
177,13990514,73234.71,134943.07,10569.28,144467.44,170631.3,266175.08,226943.95,133491.06,205133.29,168911.18
178,13990515,73782.74,135295.91,10629.33,143920.36,173011.21,271261.28,228469.92,135549.68,205774.06,170938.5
179,13990519,75611.34,137208.66,10659.36,146653.79,177038.83,278669.78,234000.93,139850.54,212074.95,174398.6
180,13990520,74778.63,137150.99,10699.4,144603.22,176285.81,276097.84,234438.35,139000.03,212482.72,175256.32
181,13990521,73613.53,135748.44,10629.33,138448.54,169097.53,274880.49,222569.71,135337.05,210133.23,169252.32
182,13990522,76643.39,137466.69,10649.35,138787.49,172806.11,277700.08,224989.59,135559.34,214958.41,173336.21
183,13990525,74357.88,136069.02,10719.41,132724.99,168611.05,262920.86,214794.39,131538.76,204657.57,163355.53
184,13990526,73189.02,135116.07,10729.42,128816.12,163795.74,253957.86,207639.09,127914.44,196055.74,158667.35
185,13990527,75372.35,134571.67,10689.39,129433.57,168472.34,258062.42,209382.77,131683.73,205735.23,168609.03
186,13990528,80126.38,139348.16,10699.4,132559.48,178259.5,268488.43,219990.31,129151.54,200511.99,166152.85
187,13990529,75629.92,133124.15,10789.48,128409.78,168429.73,253418.8,208045.41,126184.43,190492.71,157419.76
188,13990601,77560.96,135803.18,10589.3,127671.41,167748.06,260437.44,209360.7,124009.83,195745.07,154749.15
189,13990602,73479.73,131112.69,10609.32,121251.12,162945.63,247220.68,193296.39,118897.12,185793.74,151064.88
190,13990603,69310.88,127540.34,10489.21,118677.26,153779.7,239187.59,184625.16,116036.32,177172.49,143901.02
191,13990604,74095.29,132896.42,10429.16,122935.98,163836.36,249833.4,201211.16,123024.02,188007.3,157107.87
192,13990605,80164.54,139499.66,10479.2,125658.51,176180.79,265021.38,215912.03,131886.7,202414.88,167829.29
193,13990610,79649.65,135930.24,10539.26,121843.79,175601.17,270706.31,211632.09,128677.96,198783.86,169067.13
194,13990611,75258.88,126810.23,10589.3,118021.15,165183.86,251309.33,200324.27,119554.33,190288.82,154203.33
195,13990612,72623.41,122999.39,10639.34,115203.48,159075.55,241721.74,191820.59,115978.33,180085.07,147468.33
196,13990615,76822.13,127721.15,10649.35,117370.01,164654.77,252920.53,204086.52,119380.37,192240.26,156035.72
197,13990616,76615.77,128314.43,10649.35,116303.59,165471.19,260313.12,205984.7,118955.11,196191.66,157234.57
198,13990617,71355.39,122868.42,10649.35,112001.27,155387.78,242223.99,193375.65,112112.39,182958.82,142653.44
199,13990618,67781.77,118015.69,10659.36,108735.62,143816.18,220869.72,182803.22,108178.79,174434.66,135421.35
200,13990619,67781.77,122520.47,10629.33,112523.57,151290.8,238075.67,188708.45,114431.96,182085.05,142721.66
201,13990622,67781.77,129191.15,10609.32,113736.67,162100.48,256594.45,201888.37,117891.98,194851.87,150967.41
202,13990623,67781.77,123815.51,10549.26,109559.22,159865.22,242392.08,199409.29,112982.23,192609.18,143092.04
203,13990624,67781.77,125890.51,10499.22,110495.8,164876.71,241724.72,204915.22,117109.12,201385.77,147439.09
204,13990625,80360.06,131024.73,10429.16,111734.66,171962.94,253156.24,213925.56,120385.51,210405.07,155782.31
205,13990626,82519.03,129440.38,10429.16,111022.07,172553.46,253728.11,215813.71,120056.91,210958.46,157604.95
206,13990629,81142.31,125606.09,10509.23,109750.5,170957.27,247442.47,214493.41,118520.19,209647.8,152059.05
207,13990630,76694.82,121080.78,10499.22,107702.9,165616.84,240316.42,206701.04,115475.76,203890.59,146795.8
208,13990631,73866.06,118924.66,10519.24,105311.4,160114.9,229266.82,197446.9,110382.38,193308.2,142877.61
209,13990701,77319.42,120840.34,10319.06,108463.07,164276.28,236111.41,206529.48,113842.4,199706.18,146912.77
210,13990702,79909.18,122833.24,10339.08,107624.61,166817.69,239543.65,212946.37,118761.81,202162.46,150967.41
211,13990705,78732.29,120730.87,10339.08,105116.15,168339.57,235767.29,211493.64,115475.76,202278.96,150275.39
212,13990706,73422.22,117279.72,10339.08,101716.71,162701.89,228579.58,200832.93,109918.47,191473.28,140713.83
213,13990707,70356.47,112729.98,10369.11,100178.53,155716.73,219950.74,191805.54,106845.04,177570.54,136483.74
214,13990708,73377.03,116863.35,10359.1,100583.89,159314.33,222714.63,195979.13,107521.58,182560.77,142799.64
215,13990709,75538.01,118508.29,10329.07,101455.06,162269.9,223520.23,203088.27,108652.37,185405.39,142906.85
216,13990712,78855.8,122444.24,10329.07,102922.87,167074.31,231369.33,209906.47,113436.48,193531.5,146464.42
217,13990713,75529.98,119662.59,10349.09,102068.55,163239.9,223396.9,202912.7,113813.41,190269.41,139963.33
218,13990714,73994.59,117576.84,10359.1,101338.11,161594.17,220666.83,199714.29,109454.55,186774.31,138101.7
219,13990715,76579.92,119976.76,10349.09,100612.9,159965.04,222375.24,202303.39,109454.55,190220.86,143433.18
220,13990716,75001.97,120045.91,10359.1,103159.49,165535.09,222840.9,200664.22,113533.12,191123.77,143511.15
